title,year,imdb-rating-updated,Genre,Actors,Director
Jawan,2023,7.3,"Action, Crime, Drama, Musical, Thriller","Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone, Sanjay Dutt, Priyamani, Sanya Malhotra, Girija Oak, Lehar Khan, Sanjeeta Bhattacharya",Atlee
Animal,2023,7.4,"Action, Crime, Drama, Thriller","Ranbir Kapoor, Anil Kapoor, Bobby Deol, Rashmika Mandanna, Triptii Dimri, Charu Shankar, Prithviraj, Shakti Kapoor, Prem Chopra, Suresh Oberoi",Sandeep Reddy Vanga
The Archies,2023,7.1,"Comedy, Drama, Musical, Romance","Agastya Nanda, Khushi Kapoor, Suhana Khan, Vedang Raina, Mihir Ahuja, Aditi Saigal, Yuvraj Menda, Diya Gupta, Rudra Mahuvakar, Santana Roach",Zoya Akhtar
Adipurush,2023,5.3,"Action, Adventure, Drama, Fantasy","Prabhas, Kriti Sanon, Saif Ali Khan, Devdutta Nage, Vatsal Sheth, Sunny Singh, Tejaswini Pandit, Siddhant Karnick, Sonal Chauhan, Krishna Kotian",Om Raut
Tiger 3,2023,5.9,"Action, Adventure, Thriller","Salman Khan, Katrina Kaif, Emraan Hashmi, Simran, Kumud Mishra, Ranvir Shorey, Chandrachoor Rai, Vishal Jethwa, Shahid Latief, Danish Bhatt",Maneesh Sharma
Kya Masti Kya Dhoom,2023,5.14950495,Comedy,"Abhishek Bajaj, Musskan Sethi, Anant Vidhaat, Eshanya Maheshwari, Sanjay Mishra, Johny Lever, Vijay Raaz, Hemant Pandey, Vineet Sharma, Aakkash Dabhade","Chandrakant Singh, Ali Shah"
Pathaan,2023,6.6,"Action, Adventure, Thriller","Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia, Ashutosh Rana, Salman Khan, Aakash Bhatija, Prakash Belawadi, Viraf Patel, Shaji Chaudhary",Siddharth Anand
Jaane Jaan,2023,7.0,"Crime, Drama, Mystery, Thriller","Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva, Naisha Khanna, Karma Takapa, Lin Laishram, Denjam Lepcha, Ujjwal Chopra, Shyam Gopal",Sujoy Ghosh
Dunki,2023,10.0,"Action, Adventure, Comedy, Drama","Taapsee Pannu, Ryan Cretney, Priya Sindher, Ketan Desai, Deven Bhojani, Mohd. Ashique Hussain, Kiranpal Singh Dhody, Karam Singh Bhoai, Surinderpal Singh, Harpal Singh Bunty",Rajkumar Hirani
Majbooriyan,2023,5.7,Romance,"Mahima Gupta, Mahima Gupta, Pooja Singh Rajpoot, Abhishek Sharma","Kalpana C. Khurana, Manoj Giri"
Gadar 2,2023,6.6,"Action, Adventure, Drama, Thriller","Sunny Deol, Ameesha Patel, Utkarsh Sharma, Simratt Kaur Randhawa, Manish Wadhwa, Gaurav Chopra, Manoj Bakshi, Aamir Naik, Aaryaa Sharma, Luv Sinha",Anil Sharma
Fire of Love: RED,2023,7.4,Documentary,"Mete Akalin, Seza Aksoy Kutlar, Atilla Dorsay, Burçak Evren, Mustafa Göçmen, Ahmet Kutlar, Filiz Kutlar, Mazlum Kutlar, Onat Kutlar, Ömer Pekmez","Önder Esmer, Tuvana Simin Günay"
Kaisi Ye Dor,2023,9.4,"Drama, Family","Nikhil Pandey, Jashn Agnihotri, Ratna Neelam Pandey, Brijendra Kala, Sunita Rajwar, Ashwath Bhatt, Satyakam Anand, Tulika Banerjee, Satyam Srivastava, Alok Bhardwaj","Sandeeip S Choudhary, Ratna Neelam Pandey"
